fecha,modo,afluencia
2006-01-16,Metrobús,231786
2006-01-17,Metrobús,231904
2006-01-18,Metrobús,237507
2006-01-19,Metrobús,225403
2006-01-20,Metrobús,264321
2006-01-21,Metrobús,149979
2006-01-22,Metrobús,43662
2006-01-23,Metrobús,237101
2006-01-24,Metrobús,241035
2006-01-25,Metrobús,242176
2006-01-26,Metrobús,234442
2006-01-27,Metrobús,256966
2006-01-28,Metrobús,174331
2006-01-29,Metrobús,40194
2006-01-30,Metrobús,240652
2006-01-31,Metrobús,247201
2006-02-01,Metrobús,263177
2006-02-02,Metrobús,255060
2006-02-03,Metrobús,275459
2006-02-04,Metrobús,168352
2006-02-05,Metrobús,58308
2006-02-06,Metrobús,87575
2006-02-07,Metrobús,265032
2006-02-08,Metrobús,250662
2006-02-09,Metrobús,254693
2006-02-10,Metrobús,280476
2006-02-11,Metrobús,126088
2006-02-12,Metrobús,84877
2006-02-13,Metrobús,247671
2006-02-14,Metrobús,266156
2006-02-15,Metrobús,256268
2006-02-16,Metrobús,256308
2006-02-17,Metrobús,282165
2006-02-18,Metrobús,131809
2006-02-19,Metrobús,75803
2006-02-20,Metrobús,250253
2006-02-21,Metrobús,254881
2006-02-22,Metrobús,254406
2006-02-23,Metrobús,264868
2006-02-24,Metrobús,282951
2006-02-25,Metrobús,123730
2006-02-26,Metrobús,69803
2006-02-27,Metrobús,254536
2006-02-28,Metrobús,259217
2006-03-01,Metrobús,259980
2006-03-02,Metrobús,264532
2006-03-03,Metrobús,279445
2006-03-04,Metrobús,124522
2006-03-05,Metrobús,75927
2006-03-06,Metrobús,248514
2006-03-07,Metrobús,244845
2006-03-08,Metrobús,260881
2006-03-09,Metrobús,236308
2006-03-10,Metrobús,258038
2006-03-11,Metrobús,126926
2006-03-12,Metrobús,68872
2006-03-13,Metrobús,248294
2006-03-14,Metrobús,255373
2006-03-15,Metrobús,285318
2006-03-16,Metrobús,241954
2006-03-17,Metrobús,272541
2006-03-18,Metrobús,132342
2006-03-19,Metrobús,78422
2006-03-20,Metrobús,184687
2006-03-21,Metrobús,95384
2006-03-22,Metrobús,249384
2006-03-23,Metrobús,258453
2006-03-24,Metrobús,264796
2006-03-25,Metrobús,135783
2006-03-26,Metrobús,74280
2006-03-27,Metrobús,238797
2006-03-28,Metrobús,252936
2006-03-29,Metrobús,257619
2006-03-30,Metrobús,259030
2006-03-31,Metrobús,278663
2006-04-01,Metrobús,143276
2006-04-02,Metrobús,79537
2006-04-03,Metrobús,243827
2006-04-04,Metrobús,258401
2006-04-05,Metrobús,261692
2006-04-06,Metrobús,256412
2006-04-07,Metrobús,275136
2006-04-08,Metrobús,137976
2006-04-09,Metrobús,79024
2006-04-10,Metrobús,218236
2006-04-11,Metrobús,210008
2006-04-12,Metrobús,201516
2006-04-13,Metrobús,111499
2006-04-14,Metrobús,37144
2006-04-15,Metrobús,82609
2006-04-16,Metrobús,66429
2006-04-17,Metrobús,222307
2006-04-18,Metrobús,241168
2006-04-19,Metrobús,243107
2006-04-20,Metrobús,255463
2006-04-21,Metrobús,242170
2006-04-22,Metrobús,137526
2006-04-23,Metrobús,69750
2006-04-24,Metrobús,242790
2006-04-25,Metrobús,261072
2006-04-26,Metrobús,260538
2006-04-27,Metrobús,266604
2006-04-28,Metrobús,262531
2006-04-29,Metrobús,151245
2006-04-30,Metrobús,74722
2006-05-01,Metrobús,83547
2006-05-02,Metrobús,260466
2006-05-03,Metrobús,267404
2006-05-04,Metrobús,262319
2006-05-05,Metrobús,230525
2006-05-06,Metrobús,139458
2006-05-07,Metrobús,79083
2006-05-08,Metrobús,258364
2006-05-09,Metrobús,263114
2006-05-10,Metrobús,201092
2006-05-11,Metrobús,257098
2006-05-12,Metrobús,264931
2006-05-13,Metrobús,142616
2006-05-14,Metrobús,75995
2006-05-15,Metrobús,245119
2006-05-16,Metrobús,262642
2006-05-17,Metrobús,259908
2006-05-18,Metrobús,277007
2006-05-19,Metrobús,257295
2006-05-20,Metrobús,143455
2006-05-21,Metrobús,81791
2006-05-22,Metrobús,257104
2006-05-23,Metrobús,262822
2006-05-24,Metrobús,263970
2006-05-25,Metrobús,261120
2006-05-26,Metrobús,272917
2006-05-27,Metrobús,139932
2006-05-28,Metrobús,79719
2006-05-29,Metrobús,247303
2006-05-30,Metrobús,258295
2006-05-31,Metrobús,271133
2006-06-01,Metrobús,259114
2006-06-02,Metrobús,257572
2006-06-03,Metrobús,147208
2006-06-04,Metrobús,78282
2006-06-05,Metrobús,262915
2006-06-06,Metrobús,252865
2006-06-07,Metrobús,263448
2006-06-08,Metrobús,260139
2006-06-09,Metrobús,259374
2006-06-10,Metrobús,136513
2006-06-11,Metrobús,79289
